,Regressor,EstimatorsorNeigbor,ContainsNotConclusivePred,Totalgames,GamesRemovedPred0,TotalCorrect,Correct,BetReturn,BetProfit,TotalOversPred,TotalOversCorrect,OversCorrect,OversBetReturn,OversProfit,TotalUndersPred,TotalUndersCorrect,UndersCorrect,UndersBetReturn,UndersProfit
0,DecisionTreeRegressor,mse,True,63,0,37,58.73%,4.709999999999999,7.48%,26,14,53.85%,-0.38000000000000034,-1.46%,31,19,61.29%,5.089999999999999,16.42%
1,DecisionTreeRegressor,mse,False,19,0,11,57.89%,1.13,5.95%,10,5,50.00%,-0.8500000000000002,-8.50%,9,6,66.67%,1.98,22.00%
