,Regressor,EstimatorsorNeigbor,ContainsNotConclusivePred,Totalgames,GamesRemovedPred0,TotalCorrect,Correct,BetReturn,BetProfit,TotalOversPred,TotalOversCorrect,OversCorrect,OversBetReturn,OversProfit,TotalUndersPred,TotalUndersCorrect,UndersCorrect,UndersBetReturn,UndersProfit
0,DecisionTreeRegressor,poisson,True,63,0,37,58.73%,4.71,7.48%,29,17,58.62%,2.9399999999999995,10.14%,27,15,55.56%,1.7699999999999991,6.56%
1,DecisionTreeRegressor,poisson,False,16,0,12,75.00%,5.959999999999999,37.25%,9,6,66.67%,1.9799999999999995,22.00%,7,6,85.71%,3.98,56.86%
