,Regressor,EstimatorsorNeigbor,ContainsNotConclusivePred,Totalgames,GamesRemovedPred0,TotalCorrect,Correct,BetReturn,BetProfit,TotalOversPred,TotalOversCorrect,OversCorrect,OversBetReturn,OversProfit,TotalUndersPred,TotalUndersCorrect,UndersCorrect,UndersBetReturn,UndersProfit
0,RandomForestRegressor,100,True,62,1,38,61.29%,7.539999999999997,12.16%,39,24,61.54%,4.919999999999998,12.62%,23,14,60.87%,2.6199999999999997,11.39%
1,RandomForestRegressor,100,False,16,0,13,81.25%,7.789999999999999,48.69%,7,6,85.71%,3.9799999999999995,56.86%,9,7,77.78%,3.8099999999999996,42.33%
