,Regressor,EstimatorsorNeigbor,ContainsNotConclusivePred,Totalgames,GamesRemovedPred0,TotalCorrect,Correct,BetReturn,BetProfit,TotalOversPred,TotalOversCorrect,OversCorrect,OversBetReturn,OversProfit,TotalUndersPred,TotalUndersCorrect,UndersCorrect,UndersBetReturn,UndersProfit
0,DecisionTreeRegressor,friedman_mse,True,1864,26,1088,58.37%,127.03999999999999,6.82%,976,579,59.32%,82.57,8.46%,887,509,57.38%,44.46999999999999,5.01%
1,DecisionTreeRegressor,friedman_mse,False,452,16,309,68.36%,113.47,25.10%,284,193,67.96%,69.19,24.36%,168,116,69.05%,44.28,26.36%
