,Regressor,EstimatorsorNeigbor,ContainsNotConclusivePred,Totalgames,GamesRemovedPred0,TotalCorrect,Correct,BetReturn,BetProfit,TotalOversPred,TotalOversCorrect,OversCorrect,OversBetReturn,OversProfit,TotalUndersPred,TotalUndersCorrect,UndersCorrect,UndersBetReturn,UndersProfit
0,KNeighborsRegressor,5,True,1864,26,1002,53.76%,-30.339999999999993,-1.63%,922,516,55.97%,21.279999999999994,2.31%,941,486,51.65%,-51.62,-5.49%
1,KNeighborsRegressor,5,False,362,16,248,68.51%,91.84,25.37%,217,151,69.59%,59.33,27.34%,145,97,66.90%,32.51,22.42%
