,Regressor,EstimatorsorNeigbor,ContainsNotConclusivePred,Totalgames,GamesRemovedPred0,TotalCorrect,Correct,BetReturn,BetProfit,TotalOversPred,TotalOversCorrect,OversCorrect,OversBetReturn,OversProfit,TotalUndersPred,TotalUndersCorrect,UndersCorrect,UndersBetReturn,UndersProfit
0,KNeighborsRegressor,5,True,62,1,39,62.90%,9.37,15.11%,32,20,62.50%,5.259999999999999,16.44%,27,17,62.96%,4.109999999999999,15.22%
1,KNeighborsRegressor,5,False,9,1,6,66.67%,1.9799999999999995,22.00%,2,2,100.00%,1.66,83.00%,7,4,57.14%,0.31999999999999995,4.57%
