,Regressor,EstimatorsorNeigbor,ContainsNotConclusivePred,Totalgames,GamesRemovedPred0,TotalCorrect,Correct,BetReturn,BetProfit,TotalOversPred,TotalOversCorrect,OversCorrect,OversBetReturn,OversProfit,TotalUndersPred,TotalUndersCorrect,UndersCorrect,UndersBetReturn,UndersProfit
0,KNeighborsRegressor,5,True,63,0,33,52.38%,-2.6100000000000003,-4.14%,36,22,61.11%,1.2599999999999993,3.50%,24,11,45.83%,-3.87,-16.12%
1,KNeighborsRegressor,5,False,11,0,8,72.73%,3.6399999999999997,33.09%,7,5,71.43%,2.15,30.71%,4,3,75.00%,1.4899999999999998,37.25%
