,Regressor,EstimatorsorNeigbor,ContainsNotConclusivePred,Totalgames,GamesRemovedPred0,TotalCorrect,Correct,BetReturn,BetProfit,TotalOversPred,TotalOversCorrect,OversCorrect,OversBetReturn,OversProfit,TotalUndersPred,TotalUndersCorrect,UndersCorrect,UndersBetReturn,UndersProfit
0,RidgeCV,5,True,1864,26,1088,58.37%,127.03999999999999,6.82%,974,578,59.34%,82.74,8.49%,889,510,57.37%,44.3,4.98%
1,RidgeCV,5,False,452,16,309,68.36%,113.47,25.10%,284,193,67.96%,69.19,24.36%,168,116,69.05%,44.28,26.36%
