,Regressor,EstimatorsorNeigbor,ContainsNotConclusivePred,Totalgames,GamesRemovedPred0,TotalCorrect,Correct,BetReturn,BetProfit,TotalOversPred,TotalOversCorrect,OversCorrect,OversBetReturn,OversProfit,TotalUndersPred,TotalUndersCorrect,UndersCorrect,UndersBetReturn,UndersProfit
0,DecisionTreeRegressor,mse,True,63,0,46,73.02%,21.179999999999993,33.62%,40,31,77.50%,16.729999999999997,41.82%,23,15,65.22%,4.449999999999999,19.35%
1,DecisionTreeRegressor,mse,False,17,0,15,88.24%,10.45,61.47%,12,10,83.33%,6.3,52.50%,5,5,100.00%,4.1499999999999995,83.00%
