,Regressor,EstimatorsorNeigbor,ContainsNotConclusivePred,Totalgames,GamesRemovedPred0,TotalCorrect,Correct,BetReturn,BetProfit,TotalOversPred,TotalOversCorrect,OversCorrect,OversBetReturn,OversProfit,TotalUndersPred,TotalUndersCorrect,UndersCorrect,UndersBetReturn,UndersProfit
0,GradientBoostingRegressor,5,True,63,0,29,46.03%,-9.93,-15.76%,21,12,57.14%,0.7699999999999998,3.67%,21,7,33.33%,-10.7,-50.95%
1,GradientBoostingRegressor,5,False,9,0,4,44.44%,-1.6800000000000002,-18.67%,1,1,100.00%,0.83,83.00%,8,3,37.50%,-2.5100000000000002,-31.38%
