,Regressor,EstimatorsorNeigbor,ContainsNotConclusivePred,Totalgames,GamesRemovedPred0,TotalCorrect,Correct,BetReturn,BetProfit,TotalOversPred,TotalOversCorrect,OversCorrect,OversBetReturn,OversProfit,TotalUndersPred,TotalUndersCorrect,UndersCorrect,UndersBetReturn,UndersProfit
0,GradientBoostingRegressor,5,True,62,1,41,66.13%,13.029999999999998,21.02%,34,21,61.76%,6.09,17.91%,26,18,69.23%,6.939999999999999,26.69%
1,GradientBoostingRegressor,5,False,14,1,10,71.43%,4.3,30.71%,7,4,57.14%,0.31999999999999984,4.57%,7,6,85.71%,3.98,56.86%
