,Regressor,EstimatorsorNeigbor,ContainsNotConclusivePred,Totalgames,GamesRemovedPred0,TotalCorrect,Correct,BetReturn,BetProfit,TotalOversPred,TotalOversCorrect,OversCorrect,OversBetReturn,OversProfit,TotalUndersPred,TotalUndersCorrect,UndersCorrect,UndersBetReturn,UndersProfit
0,GradientBoostingRegressor,5,True,62,1,36,58.06%,3.88,6.26%,31,19,61.29%,3.09,9.97%,21,13,61.90%,0.7899999999999996,3.76%
1,GradientBoostingRegressor,5,False,17,0,10,58.82%,1.2999999999999994,7.65%,12,5,41.67%,-2.85,-23.75%,5,5,100.00%,4.1499999999999995,83.00%
