,Regressor,EstimatorsorNeigbor,ContainsNotConclusivePred,Totalgames,GamesRemovedPred0,TotalCorrect,Correct,BetReturn,BetProfit,TotalOversPred,TotalOversCorrect,OversCorrect,OversBetReturn,OversProfit,TotalUndersPred,TotalUndersCorrect,UndersCorrect,UndersBetReturn,UndersProfit
0,KNeighborsRegressor,4,True,63,0,37,58.73%,4.709999999999999,7.48%,22,13,59.09%,0.7900000000000006,3.59%,29,17,58.62%,3.9199999999999995,13.52%
1,KNeighborsRegressor,4,False,10,0,7,70.00%,2.8099999999999996,28.10%,9,7,77.78%,3.8099999999999996,42.33%,1,0,0.00%,-1.0,-100.00%
