in,Regressor,EstimatorsorNeigbor,ContainsNotConclusivePred,Totalgames,GamesRemovedPred0,TotalCorrect,Correct,BetReturn,BetProfit,TotalOversPred,TotalOversCorrect,OversCorrect,OversBetReturn,OversProfit,TotalUndersPred,TotalUndersCorrect,UndersCorrect,UndersBetReturn,UndersProfit
0,KNeighborsRegressor,5,True,58,5,34,58.62%,4.219999999999999,7.28%,17,8,47.06%,-1.21,-7.12%,32,20,62.50%,5.429999999999999,16.97%
1,KNeighborsRegressor,5,False,7,2,5,71.43%,2.15,30.71%,3,1,33.33%,-1.17,-39.00%,4,4,100.00%,3.32,83.00%
