,Regressor,EstimatorsorNeigbor,ContainsNotConclusivePred,Totalgames,GamesRemovedPred0,TotalCorrect,Correct,BetReturn,BetProfit,TotalOversPred,TotalOversCorrect,OversCorrect,OversBetReturn,OversProfit,TotalUndersPred,TotalUndersCorrect,UndersCorrect,UndersBetReturn,UndersProfit
0,DecisionTreeRegressor,poisson,True,62,1,34,54.84%,0.21999999999999897,0.35%,48,29,60.42%,5.0699999999999985,10.56%,13,4,30.77%,-4.8500000000000005,-37.31%
1,DecisionTreeRegressor,poisson,False,21,1,12,57.14%,0.9599999999999996,4.57%,18,12,66.67%,3.9599999999999995,22.00%,3,0,0.00%,-3.0,-100.00%
