in,Regressor,EstimatorsorNeigbor,ContainsNotConclusivePred,Totalgames,GamesRemovedPred0,TotalCorrect,Correct,BetReturn,BetProfit,TotalOversPred,TotalOversCorrect,OversCorrect,OversBetReturn,OversProfit,TotalUndersPred,TotalUndersCorrect,UndersCorrect,UndersBetReturn,UndersProfit
0,SVR,0.17,True,1864,26,1042,55.90%,42.85999999999999,2.30%,967,553,57.19%,43.989999999999995,4.55%,896,489,54.58%,-1.1299999999999972,-0.13%
1,SVR,0.17,False,451,16,302,66.96%,101.66,22.54%,284,192,67.61%,67.35999999999999,23.72%,167,110,65.87%,34.3,20.54%
